modelo_consulta;codigo_asa;letra
Renaut Kwid ou similar;1;A
Fiat Strada ou similar;12;H
VW Gol ou similar;2;B
Fiat Argo, VW Gol, ou similar;2;B
Fiat Mobi ou similar;1;A
Chevrolet Onix, Hyundai HB20 ou similar;3;B+
VW Polo, Hyundai HB20, Peugeot 208 ou similar;3;B+
Peugeot 208, VW Gol, Hyundai HB20 ou similar;3;B+
Fiat Toro ou similar;19;O+
VW Gol, Fiat Argo, Chevrolet Onix ou similar;2;B
Chevrolet Onix Plus, Fiat Cronos, VW Voyage ou similar;5;C+
Fiat Cronos, VW Voyage, Renault Logan ou similar;5;C+
Fiat Cronos, Fiat Grand Siena, VW Virtus ou similar;5;C+
Fiat Cronos, Fiat Grand Siena ou similar;5;C+
Toyota Corolla, Chevrolet Cruze ou similar;20;N+
Citroen C3 ou similar;37;D
Citroen C4 Cactus, Peugeot 2008, Hyundai Creta ou similar;11;G+
VW Polo ou similar;7;D+
Peugeot 208, VW Polo ou similar;7;D+
Peugeot 208, Hyundai HB20 ou similar;7;D+
Chevrolet Onix Plus Turbo, VW Virtus ou similar;7;D+
Peugeot 208 ou similar;7;D+
VW T-Cross, Chevrolet Tracker ou similar;11;G+
Chevrolet Tracker ou similar;11;G+
Jeep Compass ou similar;15;J+
Chevrolet Onix ou similar;3;B+
Hyundai HB20S, VW Voyage, Fiat Cronos ou similar;5;C+
Chevrolet Onix Plus ou similar;5;C+
VW Virtus, Fiat Cronos ou similar;8;E+
Nissan Versa, Hyundai HB20S, Chevrolet Onix Plus ou similar;8;E+
Audi A3, Mercedes-Benz C180, BMW 320i ou similar;20;N+
Fiat Cronos, Hyundai HB20S ou similar;8;E+
Hyundai HB20S ou similar;5;C+
Chevrolet Onix Plus Turbo ou similar;8;E+
Chevrolet Spin ou similar;9;F+
Chevrolet Spin, Fiat DoblÃ² ou similar;9;F+
Chevrolet Spin, Fiat Doblò ou similar;9;F+
Jeep Compass, Chevrolet Tracker, Toyota Corolla Cross ou similar;15;J+
Jeep Renegade, VW T-Cross ou similar;11;G+
VW Virtus ou similar;8;E+
VW Polo,  Fiat Argo, Peugeot 208 ou similar;3;B+
Citroen C4 Cactus ou similar;11;G+
Jeep Renegade ou similar;11;G+
Fiat Strada, VW Saveiro ou similar;12;H
VW Saveiro ou similar;12;H
Fiat Fiorino ou similar;32;H+
Renault Kwid ou similar;1;A
Volkswagen Gol ou similar;2;B
Volkswagen Polo ou similar;3;B+
Fiat Cronos ou similar;5;C+
Nissan Versa ou similar;8;E+
Volkswagen Virtus ou similar;8;E+
VW Taos, Jeep Compass, Toyota Corolla Cross ou similar;15;J+
Volkswagen Taos ou similar;15;J+
Hyundai HB20 ou similar;3;B+
Citroen C4 Cactus, VW Nivus, Fiat Pulse ou similar;11;G+
VW Nivus ou similar;11;G+
Toyota Corolla  ou similar;20;N+
Chevrolet Cruze, Toyota Corolla ou similar;20;N+
VW Voyage ou similar;5;C+
Chevrolet S10 ou similar;17;P
Fiat Toro 4x2, Chevrolet S10 4x2 ou similar;17;P
Chevrolet Cruze ou similar;20;N+
Nissan Frontier, Chevrolet S10, Fiat Toro 4x4 ou similar;18;P+
Renault Master 2.3 Dci Extra F.Vitre 16v Diesel;26;T6
Toyota Corolla ou similar;20;N+
Hyundai HB20s ou similar;5;C+
Chery Tiggo 8, VW Tiguan ou similar;9;F+
Jeep Compass Blindado, Chery Tiggo 8 Blindado ou similar;14;I+
Fiat Argo ou similar;2;B
VW T-Cross ou similar;11;G+
VW Taos ou similar;15;J+
Renault Kardian ou similar;11;G+
Chevrolet Equinox ou similar;15;J+
Jeep Commander ou similar;15;J+
Audi A3 Sedan ou similar;20;J+
GWM Haval H6 ou similar;15;J+
Honda Civic ou similar;20;N+
Fiat Pulse ou similar;11;G+
